TIME_PERIOD;OBS_VALUE
1990;881376.437096641
1991;893314.466413838
1992;916410.553070414
1993;926000.017877509
1994;931820.005196064
1995;956364.629449219
1996;968582.348894527
1997;987677.941237617
1998;1019888.58702918
1999;1052405.67272114
2000;1094655.66069372
2001;1131504.90288726
2002;1170716.42280861
2003;1181537.10740554
2004;1204513.89374928
2005;1220740.43021804
2006;1258173.16456021
2007;1297559.01168084
2008;1301415.80986667
2009;1326528.20444103
2010;1347839.33350224
2011;1351752.76809392
2012;1348685.9520201
2013;1335772.78670482
2014;1352945.19678937
2015;1365965.96676896
2016;1386437.78210236
2017;1409360.20308272
2018;1420422.55157083
2019;1454297.68983122
2020;1453388.5
2021;1501459.20890138